Scenario ID,Section,Scenario,Head State,Eye State,Gaze / Context,Driver State,Classification,Alert Level,Primary Type,Trigger Condition,Recommended HMI,Compliance Mapping
DMS-015,C Head tilted,Tilt + slow closure,Head tilted,Closing slowly,Drooping with tilt,Drowsy early,Warning,Warning,Drowsiness,Slow eyelid closure with tilt,Warning,AIS-184 / DDAW
DMS-016,C Head tilted,Tilt + closed eyes,Head tilted,Closed,Closed,Drowsy definite,Danger,Danger,Drowsiness,Lateral head drop + closed eyes,Urgent warning,AIS-184 / DDAW
DMS-017,D Head turning,Mirror check,Head turning left/right,Open,Mirror zone,Normal sanctioned,Normal,Normal,None,Short mirror check within threshold,No alert,SOTIF false positive prevention
DMS-018,D Head turning,Prolonged side gaze,Head turning left/right,Open,Side window / off-road,Distracted visual,Warning,Warning,Distraction,Sustained off-road side gaze,Stage-1 warning,EU ADDW
DMS-019,D Head turning,Co-passenger conversation,Head turning left/right,Open,Passenger side,Distracted social/cognitive,Warning,Warning,Distraction,Prolonged passenger gaze / conversation,Warning if sustained,EU ADDW / OEM extension
DMS-020,D Head turning,Backward look,Head turned rearward,Open,Rear seat / back,Distracted rearward,Warning,Danger,Distraction,Rearward gaze beyond threshold,Warning or danger based on duration,EU ADDW / SOTIF misuse
DMS-021,D Head turning,Side turn + closed eyes,Head turning left/right,Closed,Closed,Drowsy definite,Danger,Danger,Drowsiness,Head turned with eyes closed,Urgent warning,AIS-184 / DDAW
DMS-022,E Temporal,Cumulative short glances,Any,Open,Repeated off-road,Distracted cumulative,Warning,Warning,Distraction,Many short glances within rolling window,Escalating warning,EU ADDW
DMS-023,E Temporal,Repeated micro-nods,Any,Slow closure / recovery,Drooping and recovering,Drowsy progressive,Warning to Danger,Danger,Drowsiness,Repeated head-nod cycle,Escalate to urgent,AIS-184 / DDAW
DMS-024,E Temporal,Yawning + slow blink,Any,Slow blink,Facial fatigue cue,Drowsy cumulative,Warning,Warning,Drowsiness,Yawn + slow blink + blink-rate change,Warning,AIS-184 / DDAW
DMS-025,E Temporal,Driver ignores warning,Any,Any,No recovery after alert,Driver unavailable,Critical,Critical,Availability,No gaze recovery or response after alert,Escalate / handoff,UNECE R171 / DCAS
DMS-026,F Fusion,Forward TTC risk + distracted driver,Any distracted,Any,ADAS forward risk present,Critical driver-aware risk,Danger,Critical,ADAS Fusion,High forward risk + driver not attentive,Early FCW / stronger HMI,ISO 26262 / SOTIF
DMS-027,F Fusion,Lane departure + driver off-road gaze,Any distracted,Open,Off-road + LDW risk,Critical lane-risk fusion,Danger,Danger,ADAS Fusion,Lane risk + eyes off-road,LDW escalation,ISO 26262 / SOTIF
DMS-028,F Fusion,Camera blocked / DMS unavailable,Any,Unknown,No reliable face/eyes,DMS degraded,Critical,Degraded,DMS Confidence,Camera blocked or signal confidence too low,DMS unavailable tell-tale,ISO 26262 / ISO 21448
DMS-029,F Fusion,Medical event suspicion,Abnormal / still,Any,No response / abnormal posture,Incapacitation suspicion,Critical,Critical,Availability,No response + abnormal posture / motion,Urgent handoff / MRC request,SOTIF / OEM safety concept
